train_loss,train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,validation_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall,train_variance,validation_variance
1.1238816216934562,0.622553294481233,0.5864151676347346,0.15316386448328992,0.6119501044015512,0.22208087954083383,1.4052512992786461,0.5082080696202531,0.5166734958754867,0.21834534682924878,0.5061049235600085,0.15303792947569655,61.88330841064453,82.68195343017578
0.7874804097552633,0.7305824720582297,0.703992847325494,0.27665618042731493,0.7395976512139504,0.2977702933221689,1.2724254508561725,0.5590387658227851,0.5692020371221783,0.2519152896583929,0.5550889718344281,0.16537924063152348,69.71685791015625,122.82215118408203
0.5346058745716894,0.8284210809441499,0.8208082676257121,0.41972021108337926,0.8334585570182539,0.5455672587678998,1.265345674526842,0.5835640822784811,0.6253477276823032,0.2948169769437117,0.5845598391378444,0.2678660940001419,63.11808395385742,156.4308319091797
0.40329275207464077,0.8667003121486931,0.8535976761736627,0.46568731022336146,0.8758853354636004,0.5758703951799136,1.294996278195441,0.5973101265822788,0.6221187664796923,0.283704843428125,0.5973098315728312,0.23365871842230754,65.00767517089844,211.690185546875
0.26279689364655073,0.9185575474140258,0.9248598562769018,0.6774899478986861,0.9191893882577746,0.6664701134405582,1.4634576613389991,0.5923655063291141,0.6318129411877885,0.2770912134577823,0.5929757784720333,0.12391528070193278,50.267059326171875,277.0603332519531
0.12990260203910425,0.9743688092675322,0.9739552154632812,0.8614249658995541,0.9786254073628649,0.8890061727374845,1.3933198799060869,0.6059137658227848,0.6265080878394157,0.32071895358971264,0.6057631805931325,0.20844461097723638,25.16762924194336,310.66217041015625
0.10616757991008975,0.9821584302325588,0.9805754339645145,0.8812291494723606,0.9868620846618634,0.9179942517943308,1.3963761616356762,0.6125395569620254,0.6322299298212761,0.3628465837288089,0.6129568584826106,0.2660535849566692,22.236148834228516,339.7316589355469
0.06674832306629011,0.9924781976744191,0.9917390835271758,0.9367826491138641,0.9948763760051148,0.9618501338634456,1.3734377516975886,0.6200553797468356,0.6367878699381129,0.3740834077310744,0.6209157134521665,0.2526308297064069,12.117507934570312,353.5971984863281
0.048165198883344966,0.9961482558139527,0.9952735312636896,0.9600268984570954,0.9973346013249254,0.9788981408826483,1.3731177668028243,0.626977848101266,0.6431391194152473,0.3594397270309834,0.6255069355535776,0.2563741214523047,7.751805782318115,400.8321533203125
0.03997526020677978,0.9979287790697661,0.9978813301730658,0.9814769039168006,0.9986346753190599,0.9878565168595408,1.3783000398285778,0.6303401898734178,0.6447533091207162,0.36331191136027147,0.6308890660402205,0.2553600321573634,5.571652412414551,412.92633056640625
0.034580884847876615,0.9984374999999984,0.9983351570356103,0.9835960593092986,0.9989876395750011,0.9901077234232176,1.4087728865538967,0.6258900316455696,0.6452910125158792,0.3693123585210235,0.6248494872131568,0.2531445492540058,4.585508823394775,429.98175048828125
0.03106064955855523,0.9985828488372077,0.9985267362276371,0.9855938601570187,0.9991568558890852,0.99156855889087,1.4080363255512858,0.6274723101265823,0.6464527837589197,0.3753561761791571,0.6270481416011849,0.2588106367469147,3.8633511066436768,429.01373291015625
0.02994718774286815,0.9988735465116262,0.9988110929209886,0.9888681327710456,0.9992344666843477,0.992899228986565,1.3945383346533469,0.632911392405063,0.6521088129681886,0.3668170130574138,0.6327670251577177,0.2514059040701084,3.618229389190674,460.89697265625
0.027878671693940496,0.9991279069767423,0.9989508288740859,0.9896149955795336,0.9994276098887596,0.9943473012165495,1.4146314731127099,0.6298457278481013,0.6442221013443715,0.3565536735615168,0.6247147298226298,0.23750719322436234,3.0276553630828857,449.3987121582031
0.027295638369612924,0.9991279069767423,0.9990706374030001,0.9907569301473104,0.9994393718677212,0.9944352469164336,1.4055009205130087,0.6292523734177213,0.6458628501729786,0.37033957824720953,0.6294064247770796,0.25701455581339594,3.0256476402282715,449.7754211425781
