train_loss,train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,validation_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall
0.26548678506165746,0.9121093749999998,0.9129280149545451,0.6924302457733179,0.9126402060361863,0.6923029458501595,0.3405444435303724,0.8793512658227847,0.8797957138177646,0.6140022652557432,0.8780086930667621,0.6111817093589049
0.19474019557237623,0.9389062499999992,0.9434334063654182,0.7319074994227738,0.9394041012472556,0.7695675169988256,0.30375378644919093,0.889636075949367,0.8944386205466013,0.6358692204436601,0.8889504411191914,0.662817714218741
0.13401421943679453,0.9636718749999993,0.9645498349891236,0.8243574881505623,0.9642590217522728,0.83022950995513,0.2847885227278818,0.8980419303797469,0.898481810074288,0.6529594154501082,0.8994003924641277,0.6676564253958737
0.09855202503502368,0.9784375000000002,0.978676847855428,0.8706393100373028,0.9787861406809899,0.8702322458673082,0.2908595898483372,0.9026898734177214,0.9023652806976679,0.6722550414123681,0.9030612321311168,0.6736673953166881
0.07015552880242469,0.9898437500000002,0.9902686183378104,0.9115534885230754,0.9899936553120422,0.9132606874699015,0.2719048833168006,0.9028876582278487,0.9044043462817926,0.6759458894447335,0.9045878563115025,0.6730443755471187
0.054588825125247264,0.9960546875000016,0.9959109821679872,0.9388562094725018,0.9962854639562966,0.9413140361390383,0.2687693329740175,0.9087223101265822,0.9099069893686338,0.691942502888637,0.9087303741191155,0.683536501229608
0.041780784633010645,1.0010546875000013,1.0009653257281936,0.9700092644283826,1.001136028024264,0.9713812751790697,0.2665585344539413,0.9113924050632909,0.9103664903528829,0.6993083079652819,0.9109357875841986,0.6710020516967852
0.03477025457657875,1.002578125000001,1.0026434299274862,0.983513664354222,1.002578084752795,0.983498581183179,0.27373917476285864,0.907337816455696,0.9070214833244488,0.6849795215953074,0.908523725720703,0.6732983273426902
0.03227201276924462,1.0030078125000008,1.002859674967706,0.9870417162601768,1.0032063680707846,0.9896817362633933,0.26746084163837797,0.9100079113924051,0.9096878984697354,0.6828010210245796,0.9096071908441018,0.6805761466590524
0.030159382168203592,1.0030078125000015,1.0030280907839155,0.9861521199603637,1.0030376146607696,0.9857928132743563,0.2730822717841667,0.9090189873417723,0.907505050103759,0.6804170802853053,0.9098606882567112,0.6839485402580596
