train_accuracy,train_loss,validation_accuracy,validation_loss
0.458984375,1.5064294338226318,0.4612831771373749,1.5155948400497437
0.59521484375,1.166473627090454,0.5774336457252502,1.1784532070159912
0.6591796875,0.9431173205375671,0.6509955525398254,0.9910139441490173
0.72265625,0.7873491048812866,0.6991150379180908,0.8521356582641602
0.7626953125,0.6644980907440186,0.7361725568771362,0.7652885913848877
0.779296875,0.6115707159042358,0.7704645991325378,0.6486930251121521
0.8154296875,0.535211980342865,0.767699122428894,0.6679388284683228
0.82080078125,0.5062078833580017,0.7782079577445984,0.6367640495300293
0.81689453125,0.5283340811729431,0.7992256879806519,0.5838338136672974
0.806640625,0.5330761075019836,0.7732300758361816,0.6529303789138794
0.82568359375,0.5099265575408936,0.7726770043373108,0.6416444778442383
0.82177734375,0.4944235682487488,0.7560840845108032,0.6772400140762329
0.8251953125,0.5034299492835999,0.7842920422554016,0.6269811391830444
0.81298828125,0.5228449702262878,0.7859513163566589,0.6143121123313904
0.82373046875,0.5153692960739136,0.767699122428894,0.6644326448440552
0.8056640625,0.5405426621437073,0.7776548862457275,0.6482094526290894
0.8330078125,0.5146382451057434,0.7782079577445984,0.6374649405479431
0.82421875,0.5041654109954834,0.7842920422554016,0.6176856160163879
0.8310546875,0.4942271113395691,0.7605088353157043,0.7001474499702454
0.82421875,0.5154306888580322,0.7887167930603027,0.6230924725532532
0.83251953125,0.5022830963134766,0.783738911151886,0.6283044815063477
0.81103515625,0.5489164590835571,0.7765486836433411,0.6638665199279785
0.8251953125,0.5024524331092834,0.7782079577445984,0.6213303208351135
0.8193359375,0.5071179866790771,0.7688053250312805,0.6531896591186523
0.84375,0.4541707932949066,0.7831858396530151,0.6319940090179443
0.8408203125,0.49176886677742004,0.7865044474601746,0.6224982738494873
0.8095703125,0.5069743990898132,0.7665929198265076,0.6568240523338318
0.81005859375,0.5300085544586182,0.7704645991325378,0.656804621219635
0.80712890625,0.5327903032302856,0.7804203629493713,0.6373733878135681
0.81201171875,0.5470168590545654,0.7865044474601746,0.6098534464836121
