epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,4.127918521968686,0.2597950453660926,1.7937831938266755,0.3851447612047195
2,1.594063295393574,0.43799160299252493,1.4851070880889892,0.4811753213405609
3,1.29526528411982,0.5433844297516103,1.2466636836528777,0.5609719663858413
4,1.0650662001298399,0.6268155142969015,1.086663419008255,0.6153722435235978
5,0.9158825357349551,0.6788219754793205,0.8951935321092606,0.6929113060235977
6,0.7867885742868695,0.725116162883992,0.8530820518732071,0.7056295961141587
7,0.6822868536929695,0.7611901346518068,0.7455081194639206,0.7388097435235977
8,0.6182607302860338,0.7854267267548308,0.7259726822376251,0.7564510583877564
9,0.5355616190603801,0.814621105486033,0.6902759790420532,0.7713924646377563
10,0.4596605048495896,0.8394888092060478,0.6364765226840973,0.7868795961141586
11,0.39697315559095264,0.8624669733096142,0.5735229045152664,0.8150045961141587
12,0.32391525774585955,0.8879686362889349,0.623460054397583,0.7971220135688781
13,0.2833149624722345,0.8997462270211201,0.5791544079780578,0.8213407635688782
14,0.20237871373490413,0.9293572343125636,0.5544836670160294,0.8332146137952805
15,0.15250997404967034,0.9457689888623296,0.6325000762939453,0.8267635583877564
16,0.11711796669631588,0.959862237682148,0.6866286188364029,0.8246495872735977
17,0.07967684520598577,0.9733405082809682,0.5708785310387612,0.8485064327716827
18,0.04341525428605323,0.9875030371607566,0.6180751338601113,0.8464269310235977
19,0.025928523980689292,0.9936215001709607,0.630406278371811,0.8516429215669632
20,0.012595085888074673,0.9979870854591837,0.593263004720211,0.8567727476358413
21,0.0038781316596919633,0.9998405612244898,0.5936127558350563,0.8643324911594391
22,0.0018633485929707863,0.9999003507653061,0.595719963312149,0.8639246314764023
23,0.0011458997305824744,0.9999601403061225,0.6041676431894303,0.8647058814764023
24,0.0008294017800148957,1.0,0.6064270853996276,0.8670266538858413
