train_accuracy,train_loss,validation_accuracy,validation_loss
0.43359375,1.5446970462799072,0.404296875,1.5661909580230713
0.50390625,1.3288545608520508,0.521484375,1.2999804019927979
0.6171875,1.1102980375289917,0.6015625,1.0617091655731201
0.65625,1.0274373292922974,0.611328125,1.081872820854187
0.6640625,0.9639967083930969,0.634765625,0.9769676923751831
0.673828125,0.9079149961471558,0.701171875,0.8578281402587891
0.728515625,0.7392125725746155,0.673828125,0.893003523349762
0.71484375,0.7775629758834839,0.712890625,0.8295159339904785
0.751953125,0.6823130249977112,0.72265625,0.8166418075561523
0.783203125,0.6494914293289185,0.744140625,0.7862138748168945
0.78125,0.6208534240722656,0.775390625,0.6579048037528992
0.755859375,0.701924741268158,0.765625,0.7471989989280701
0.779296875,0.5671921372413635,0.759765625,0.672608494758606
0.822265625,0.5165318846702576,0.73828125,0.7512032389640808
0.783203125,0.5979587435722351,0.759765625,0.7178916335105896
0.814453125,0.5735759139060974,0.80859375,0.595977783203125
0.81640625,0.5894179344177246,0.74609375,0.7605000138282776
0.8125,0.5249443650245667,0.7578125,0.6955427527427673
0.798828125,0.5326346755027771,0.78515625,0.6290003657341003
0.833984375,0.4426445960998535,0.76953125,0.6961107850074768
0.8046875,0.5947704315185547,0.771484375,0.7380476593971252
0.822265625,0.45913055539131165,0.771484375,0.7007713317871094
0.8671875,0.34291306138038635,0.80859375,0.5800811052322388
0.869140625,0.4122614562511444,0.814453125,0.585462749004364
0.876953125,0.4085954427719116,0.78515625,0.6928525567054749
0.849609375,0.4168602228164673,0.7890625,0.6792029738426208
0.880859375,0.3661602735519409,0.83203125,0.5393412709236145
0.857421875,0.4230543076992035,0.798828125,0.6167479753494263
0.859375,0.41893985867500305,0.814453125,0.6028478741645813
0.87109375,0.3650457561016083,0.83203125,0.5397652983665466
0.896484375,0.30123594403266907,0.830078125,0.5174897313117981
0.87890625,0.32924821972846985,0.822265625,0.5993223190307617
0.8515625,0.4326266050338745,0.828125,0.5976909399032593
0.904296875,0.2833158075809479,0.79296875,0.6365241408348083
0.90625,0.26743414998054504,0.845703125,0.4739680588245392
0.9296875,0.22927753627300262,0.83203125,0.5249474048614502
0.888671875,0.365030974149704,0.83984375,0.5771065354347229
0.890625,0.292105108499527,0.810546875,0.6062833666801453
0.923828125,0.20941492915153503,0.84375,0.4539165198802948
