epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,2.7555423926333993,0.2261003173735677,1.6515062868595123,0.3882525280117989
2,1.5263247660228185,0.4468917031677402,1.367363601922989,0.5432846963405609
3,1.2570856006778017,0.5580110391791986,1.070268803834915,0.6219267010688782
4,1.0502141872230841,0.6323787886269239,0.8548536658287048,0.7074678301811218
5,0.919130705449046,0.6802369946119736,0.7717600584030151,0.73291015625
6,0.8154836680207934,0.7161999290086785,0.6688811153173446,0.7696231633424759
7,0.7315169700554439,0.7484729940793953,0.5928453594446182,0.7928136497735977
8,0.6684800708780483,0.7682377081744525,0.5475407645106316,0.8139016538858413
9,0.6336676046556357,0.7811380132120482,0.5314057692885399,0.8177217364311218
10,0.5878867598212495,0.7989002520940742,0.5538862079381943,0.8153262883424759
11,0.5410976598457414,0.8130466475778696,0.48528484255075455,0.834254366159439
12,0.5130606321047764,0.823756567677673,0.45952985882759095,0.8480124086141586
13,0.47450644933447544,0.8373088635960404,0.4491506710648537,0.8504136025905609
14,0.45992474531640815,0.8419696007456098,0.41068254709243773,0.8607996314764023
15,0.4324239063627866,0.8511705465462743,0.4006621986627579,0.8673885583877563
16,0.4008924030527777,0.8608915665928198,0.41392234712839127,0.8657284021377564
17,0.38189474812575747,0.8683719026799105,0.40586147606372835,0.8628446698188782
18,0.35658941706832575,0.8752913554104007,0.3680107295513153,0.8758329510688782
19,0.33256384274181056,0.8839798198670757,0.38121754229068755,0.8741498172283173
20,0.3201009755840107,0.888144208460438,0.34620165079832077,0.8821748614311218
21,0.3165114664909791,0.8889442499803037,0.36178270131349566,0.8811006426811219
22,0.2991417488273309,0.897724770769781,0.33772511333227156,0.8922277122735978
23,0.2754566337989301,0.9028590789863041,0.3230715773999691,0.8958237588405609
24,0.2566360280830033,0.9105501016791986,0.31722012236714364,0.8952837765216828
