train_loss,train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,validation_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall
1.5658843998323406,0.5356572333135101,0.1372513900311259,0.0,0.1920182888016359,0.0,2.8119475543498997,0.18261718750000003,0.06704193977174687,0.0,0.1836800953868695,0.0
1.003303206803506,0.6659104656754878,0.24938491702995763,0.0,0.279789086569715,0.0,2.718454313278198,0.27011718749999997,0.12968974796941685,0.0,0.2695350005190069,0.0
0.7378389479821188,0.7799337380810789,0.393763611886162,0.0,0.4091474244823584,0.0,2.3107294291257854,0.40498046875,0.24769867431407838,0.0,0.40436107316747394,0.0
0.6065869216333355,0.8109828714738807,0.5120151605818614,0.0,0.47268868186135515,0.0,1.9656817972660068,0.44560546875,0.3693175277623225,0.0,0.44580254883694853,0.0
0.5313139850633187,0.8318563783377926,0.5514782608993178,0.0,0.5135583984329758,0.0,1.8649884521961209,0.48554687500000004,0.39880796060545265,0.0,0.4844547490692342,0.0
0.5996098507914628,0.8017714002676175,0.5677283268753086,0.0,0.5097263427603338,0.0,1.929637092351914,0.48681640624999994,0.42706829052855466,0.0,0.4877092795014713,0.0
0.4661775759437628,0.8417295259341855,0.5859260022183824,0.0,0.5615593845496116,0.0,1.6827651083469397,0.5207031249999999,0.43318910049254833,0.0,0.5225561131008866,0.0
0.4271463145289505,0.8561493304737823,0.6095629565617929,0.012450481041312961,0.5750891086932729,0.008771929824561403,1.570961305499077,0.5298828124999999,0.44304002724135694,0.0,0.5293029145390018,0.0
0.39158104333961224,0.8650417798443839,0.6415644573526229,0.0,0.5852220346787027,0.0,1.4082438349723818,0.5484375,0.5209611221041197,0.0,0.5486782929830453,0.0
0.4004208168439699,0.8596562126226588,0.6140716499219316,0.0,0.5734960119178182,0.0,1.4744769811630247,0.5335937500000001,0.466892094072612,0.0,0.5328807045092449,0.0
0.3684847375802828,0.8738822403706998,0.661265264902867,0.0,0.6015937478910032,0.0,1.3193487912416462,0.55361328125,0.5230495697071603,0.0,0.5531766667812051,0.0
0.3591380223893281,0.8778050322281684,0.6721252782072247,0.0,0.612658318827678,0.0,1.3038642436265946,0.5808593750000002,0.5496028954992562,0.0,0.5775550390383042,0.0
0.33724822156261985,0.8816711097432854,0.6751279542834941,0.010526315789473684,0.6346095070953026,0.005012531328320802,1.2031600356101992,0.59833984375,0.5701742707497472,0.0,0.5943660279712731,0.0
0.33939877806002633,0.882545467008624,0.6848780640494367,0.01993620414673046,0.6266679494674279,0.012183235867446393,1.2688067346811296,0.59169921875,0.5642885845449793,0.0,0.5859314663036534,0.0
0.3428752111238346,0.8821744552829807,0.7048762075562686,0.010526315789473684,0.6384766011361606,0.005012531328320802,1.175937007367611,0.615234375,0.6274728563422322,0.0,0.616556498422896,0.0
0.3287095035377302,0.8874513193180685,0.6937558609581269,0.0,0.6500663727954733,0.0,1.1264682337641718,0.62763671875,0.6290070161023216,0.0,0.6252844375963981,0.0
0.31134536417952763,0.8846982759341857,0.6940844453877999,0.019799498746867168,0.6507180046529383,0.011904761904761904,1.098556859791279,0.6173828124999999,0.6187425708793376,0.0,0.6163934055766191,0.0
0.33718860070956386,0.8855655433838826,0.6875441624387812,0.0,0.6248832571871292,0.0,1.2336505889892575,0.59248046875,0.6019330654616121,0.0,0.5920609863610748,0.0
0.3205450987606717,0.8898664357369406,0.715384396379572,0.03728070175438596,0.6533368810337268,0.027986633249791143,1.1108974784612653,0.6126953125000001,0.614791884202414,0.0,0.6113817530912927,0.0
0.36436211513845546,0.8732772793686179,0.7190566480389491,0.0226489869995185,0.6274480020800011,0.009941520467836258,1.2004066705703735,0.59873046875,0.5957039825888096,0.0,0.5960721479780015,0.0
0.3165549737842459,0.8933898597432858,0.7266883798343263,0.05609857978279031,0.6598972566804128,0.021929824561403508,1.1587922900915142,0.62490234375,0.6278314816071148,0.0,0.622716838499325,0.0
0.3135251562323487,0.8922366531271684,0.7392998239740625,0.0341839447102605,0.6839080971093651,0.016487979207277452,1.0623321801424028,0.657421875,0.6344739226860724,0.0,0.6542393324727198,0.0
0.33563832337396177,0.888467464530677,0.7481264081211436,0.07457035168831747,0.6509169042014031,0.03007518796992481,1.2425627648830415,0.6287109375,0.6427496207012512,0.0,0.6308646707137512,0.0
0.2744427503723847,0.9052007710724548,0.7452773214800411,0.012280701754385965,0.7000657478111093,0.018518518518518517,0.9931486934423447,0.67451171875,0.650730966661181,0.0,0.6744805679521093,0.0
0.27576616118874464,0.9069991111755373,0.7525954319307184,0.06287942077415762,0.7353630796575411,0.06307435254803676,0.9471479937434198,0.6988281249999999,0.6744058454123528,0.0,0.6953357823443488,0.0
0.3186684026007067,0.894691943076619,0.7655927583032779,0.044506468190678716,0.6874726555434809,0.029131969709219285,1.092158127576113,0.6619140624999998,0.6399150545960005,0.0,0.6583886964799134,0.0
0.27586277770368683,0.9048344869362683,0.7619768083269262,0.024853801169590642,0.6885945692869965,0.012280701754385965,1.0463312253355979,0.66328125,0.6420371186290159,0.0,0.6638380185753191,0.0
0.2576832734701926,0.9116190264099526,0.7676648268101108,0.04769736842105263,0.7307229522074103,0.03216374269005848,0.9085500806570053,0.7031249999999999,0.6735772826235901,0.0125,0.7034413993631478,0.0125
0.2653471390929138,0.9056970278422041,0.7510831534044277,0.04035087719298246,0.7225245024488125,0.03048910154173312,0.9311863675713542,0.6897460937499998,0.6603090361480899,0.0,0.686183407734544,0.0
