epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.5577490074293954,0.47422786087405927,1.150034523010254,0.5912109375
2,0.9533226642073417,0.6647809239066377,0.8679636180400848,0.6948414534330368
3,0.7169944589235344,0.7542061471209234,0.7556245923042297,0.7418255984783173
4,0.5771392808884991,0.8059222017015729,0.7162230521440506,0.75205078125
5,0.4779302861009325,0.839500197342464,0.6449335634708404,0.7716509640216828
6,0.3730594336378331,0.8817989248402265,0.6165012329816818,0.7886833637952805
7,0.2904662587204758,0.9151671832921554,0.5971508026123047,0.7962660849094391
8,0.22304603305398202,0.9416767267548308,0.5767842903733253,0.8101102948188782
9,0.16542554859604156,0.9636413163068344,0.5784359112381935,0.8071978390216827
10,0.10963339799520921,0.9820612401378398,0.5516089290380478,0.8205250471830368
11,0.07389850283459741,0.992276709906909,0.5510619431734085,0.8206629127264022
12,0.04677281304433638,0.9974091198979592,0.5526626840233803,0.8250172346830368
13,0.03032608244720162,0.9993423150510204,0.5412409037351609,0.8314970135688782
14,0.019502805916554466,0.9998007015306123,0.5420568615198136,0.8346794575452805
15,0.012972291539974359,0.9999800701530612,0.5374280080199242,0.8376780778169632
16,0.009126054317861492,1.0,0.5380297511816025,0.8368106633424759
17,0.007310294004499304,1.0,0.5482469365000725,0.8366842836141586
18,0.006028620915829527,1.0,0.5523760050535202,0.8355181515216827
19,0.005171770258445521,1.0,0.55820991396904,0.83779296875
20,0.004397564196997151,1.0,0.5612733289599419,0.8376034021377563
21,0.0038836417263563797,1.0,0.5590342596173287,0.8401941627264022
22,0.003382506837346116,1.0,0.5605562567710877,0.8404239445924759
23,0.0029731378249101795,1.0,0.5729990378022194,0.8382984846830368
24,0.002667541589530907,1.0,0.5685230284929276,0.8397748172283173
