epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,2.3298907742208366,0.3023927205679368,1.543601244688034,0.44599034935235976
2,1.3439711320156953,0.518100097471354,1.1607469022274017,0.58828125
3,0.9829947814649466,0.6513073979591837,0.8749679028987885,0.6936638325452804
4,0.7343566983330007,0.7415971968855176,0.6934009552001953,0.7564740359783173
5,0.5656014860284572,0.8033028500420707,0.6361153542995452,0.7749827653169632
6,0.45847549274259686,0.8387409655415282,0.5793758898973465,0.7957146137952804
7,0.3531904910900155,0.8776184022426605,0.5831185221672058,0.8022001385688782
8,0.2737128546043318,0.9063847636689946,0.5572507992386818,0.8190602034330368
9,0.183039875967162,0.9382336084939995,0.5658884525299073,0.8260971963405609
10,0.1320607977710208,0.9560964454193505,0.582248954474926,0.8273494958877563
11,0.07301490027837608,0.9794485319633873,0.5607636943459511,0.8405388325452805
12,0.046314306044000754,0.987472667986033,0.5547211214900016,0.8488913148641586
13,0.019059993792325258,0.9969905931122449,0.5251447677612304,0.8602883726358413
14,0.005789434085885177,0.9996213329081632,0.529835756123066,0.8689051002264023
15,0.0020240693167802326,0.9999003507653061,0.5329373151063919,0.8711167275905609
16,0.001081856936382662,0.9999800701530612,0.5352239429950714,0.8722196698188782
17,0.0006867684055670944,0.9999800701530612,0.5526339888572693,0.871484375
18,0.0005178427750159207,1.0,0.5554115518927574,0.8735294133424759
19,0.0004313662841236599,1.0,0.5645736932754517,0.8724494487047195
20,0.00035634503387418405,1.0,0.5721741586923599,0.8720818012952805
21,0.00031317830485486596,1.0,0.5777090519666672,0.8736730247735978
22,0.0002709794277265877,1.0,0.5813005343079567,0.8731732547283173
23,0.00023216884096191094,1.0,0.5928699746727943,0.8741325825452805
24,0.00020575576580048787,1.0,0.6000464543700218,0.8725241273641586
