train_loss,train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,validation_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall,train_variance,validation_variance
1.196623241901398,0.5839062499999998,0.5380303768966147,0.05712202380952386,0.558571515101495,0.07814727102962399,1.3666663534322354,0.5087579617834397,0.5071476394565566,0.141002840047426,0.5112551826564564,0.12566472805326304,120.7300796508789,165.29351806640625
0.9368066981434827,0.6809765624999999,0.6369045840457701,0.12851740620490626,0.6494953998456074,0.15349359668109666,1.3772576838541937,0.5278662420382165,0.530033410191241,0.1070748430621042,0.5264241049113662,0.08229841637484947,143.56785583496094,196.73965454101562
0.7765574357658626,0.7359374999999994,0.6853137762818257,0.14435732323232323,0.6802242236841436,0.1307743090243091,1.3042594672767982,0.558220541401274,0.5647497347486748,0.138622806775673,0.5622362837092141,0.09086258751863845,132.7329864501953,226.21957397460938
0.6855051580816502,0.7703515624999995,0.7364731826803592,0.2577642434320063,0.7650231153443837,0.32306558445209704,1.2255262151645254,0.5878781847133758,0.5989254701573528,0.1866423562283434,0.583797981624415,0.16106699386954157,115.2060546875,263.6805114746094
0.542405418306589,0.823984375000001,0.7903737986845218,0.3185025321900321,0.8143146789995139,0.3825659340659338,1.2435693019514624,0.5931528662420381,0.6032305460972567,0.1950640124207003,0.5922702003982449,0.17327621069659285,139.3289794921875,349.9084167480469
0.4788108498230578,0.8480468750000011,0.8233584035010132,0.3685089493839487,0.8388961039666247,0.41334683719058635,1.2541882756409368,0.603801751592356,0.6234135446897716,0.2164249939727646,0.6047371542116765,0.1861881218569116,115.26634216308594,359.2985534667969
0.3463121366500855,0.896718750000002,0.8807586906560483,0.5241405400155388,0.8961805564338116,0.5814493866019594,1.2672155932256381,0.6112659235668787,0.6302102152977951,0.2218179732510942,0.6103734988766839,0.19033097122269094,106.53629302978516,499.3291931152344
0.29310395391657934,0.9123437500000016,0.9004313113490282,0.5488983169608159,0.9091996547340373,0.5806142884892876,1.3710667570685127,0.5957404458598727,0.6223835705863031,0.1882155353492933,0.5990970432610558,0.1509670973046769,98.8758316040039,597.8838500976562
0.2326144149340691,0.9373046875000023,0.9239027886278045,0.628011602980352,0.9413512530837899,0.7056627577895954,1.2859403445462512,0.6169386942675158,0.6370063263998262,0.23045019382598994,0.616822523430804,0.1922190512954844,65.8575668334961,610.270263671875
0.14714130863547314,0.9686328125000001,0.9630042445005051,0.7568035391895669,0.9708637408814008,0.8082993467445861,1.311375192775848,0.6237062101910826,0.6353189688609765,0.227897960143183,0.620965023122667,0.1878815452063859,49.59176254272461,744.2068481445312
0.12554115193895993,0.9750390624999992,0.9737857244081474,0.8181182897554781,0.978810064880803,0.8550837238134636,1.3727555073750244,0.620421974522293,0.6364710767459925,0.2013042658602793,0.6166335869839056,0.14437068593119545,43.912384033203125,792.7781372070312
0.09047600491903726,0.9872656249999961,0.9846246822343253,0.8633181842667108,0.9876337851903155,0.8887854986108629,1.3581266243746324,0.6277866242038209,0.6355168902165279,0.22679987262227785,0.6279332368504343,0.17427227761622655,30.274038314819336,806.5899047851562
0.08293214248027651,0.9898437499999942,0.9881452380861651,0.8879963976511921,0.9909775140401059,0.913963409150615,1.3538226823138586,0.627985668789809,0.637786079496458,0.21431300475886458,0.629455894580005,0.16433450817115106,23.614046096801758,863.8345947265625
0.0730626688664778,0.9925390624999945,0.9902405077839306,0.9035405430482784,0.9928625466827699,0.9264531557623622,1.3522145269782684,0.6323646496815285,0.644076198041166,0.23276744486935563,0.6288691102619542,0.1879589260911853,22.053974151611328,884.839111328125
0.06716446944978083,0.994570312499993,0.9927174293065957,0.919288137924162,0.995501116916119,0.9431311691297128,1.354172845554959,0.6317675159235668,0.6374540205079926,0.2218713876357188,0.6280684485169624,0.16633486824569624,17.205841064453125,887.3507690429688
