train_loss,train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,validation_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall,train_variance,validation_variance
0.39137283287942437,0.8711718749999997,0.8200769063061505,0.25588798701298726,0.8378224133511352,0.2878920385170385,0.5029752381667971,0.8396695859872622,0.8398071715831177,0.46495137912335366,0.838185630717478,0.42258343213757243,36.72806930541992,49.48062515258789
0.3649058383330702,0.880703125,0.8419589817091049,0.27986180486180495,0.8469424857640547,0.2532269952269952,0.5256537393589685,0.8418590764331215,0.8500010851576674,0.45676745406044755,0.8396293912111322,0.34268710765526045,35.697967529296875,56.738590240478516
0.17958420809358355,0.9357812499999997,0.9062884320818002,0.5104455266955266,0.9156433989904884,0.559390963203463,0.3940726593611349,0.8712181528662428,0.8790558206242922,0.5192314408874918,0.8731256949781369,0.5312047824786676,20.663246154785156,50.36734390258789
0.1595501417107881,0.946249999999999,0.9197358988982149,0.5349161255411256,0.9307595176762619,0.5912074869574871,0.3509713107613242,0.8814689490445863,0.8828264443152977,0.5576044620630608,0.8792523744832663,0.5444887914633139,18.582101821899414,43.42744064331055
0.1371440925076604,0.9532031249999999,0.9306831909194652,0.5948323898323895,0.9413067240799181,0.6625848840701782,0.3702330859793221,0.8760947452229307,0.8800172156223116,0.5121318702528892,0.8741117392868992,0.5481332361905611,17.885217666625977,61.332908630371094
0.11228866638615725,0.9647656249999997,0.9509516172099507,0.6864851676101671,0.9588720595898291,0.7262810551376729,0.37323801161329817,0.8838574840764336,0.8896979100163817,0.5697635167380393,0.8847849284473487,0.5687932909270488,17.52923583984375,65.04042053222656
0.0850164605677128,0.9745312499999995,0.9681259562865868,0.7780473970473971,0.9698003940441893,0.7942497903498293,0.37725328540156594,0.8828622611464978,0.8926599752767483,0.5421485096644335,0.881018170513924,0.5297092857602415,12.600557327270508,71.01182556152344
0.08116891704499728,0.9785156249999998,0.9727144304043818,0.7998569000444002,0.9764600033126066,0.8308270754228574,0.356435949540442,0.886644108280256,0.8923032383595013,0.5446918438956656,0.8839505711320998,0.54891614047665,11.831337928771973,67.06777954101562
0.06816582633648068,0.983671875,0.9798398183094793,0.8465769092019095,0.9836297035072773,0.876875226897286,0.3727420177429346,0.883160828025478,0.8928801134705427,0.5354706775885122,0.8812578221495423,0.526469284431068,11.301078796386719,79.83084106445312
0.07167612695135181,0.9823437499999994,0.9732119753549163,0.7852088724184312,0.9781930924852512,0.8310763244108835,0.3615847754345579,0.8846536624203825,0.8925771889705009,0.5501688686402062,0.8823707019566892,0.54336655913089,10.779524803161621,72.95794677734375
