epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,2.5097376229811688,0.2760065523337345,1.6086980044841765,0.43388671875
2,1.3261887054054105,0.5266158361824191,1.1039369434118271,0.6052619487047195
3,0.9183688601669,0.675506977402434,0.8337830185890198,0.7078756898641586
4,0.6892216339403269,0.758590713447454,0.659299585223198,0.7656422346830368
5,0.5340661774484479,0.8159108508606346,0.6410056233406067,0.78408203125
6,0.4284939002625796,0.8516725885624788,0.5704963982105256,0.8038430601358414
7,0.3320497678858893,0.8852942403481932,0.5250157058238983,0.8222254127264023
8,0.2627861341651605,0.9088551158807716,0.5466812387108803,0.8195829510688781
9,0.17916947664046773,0.9395148127662892,0.5863850176334381,0.8204388797283173
10,0.12107424840939288,0.9608995385315954,0.5170281633734704,0.8432559758424759
11,0.0563944724141335,0.9851399264773544,0.5465156465768815,0.8434742659330368
12,0.03815507839376829,0.9900929684541664,0.5856134116649627,0.8441463708877563
13,0.024239946147236898,0.9945572541684521,0.5627970293164253,0.854710477590561
14,0.018606558665443137,0.9957938534872872,0.6002617284655571,0.8541532635688782
15,0.009996030548568435,0.9983553132232355,0.594855523109436,0.8558938413858413
16,0.005293306041679972,0.9994021045918368,0.5835829541087151,0.8633157163858414
17,0.0021128354086873253,0.9998007015306123,0.5983947843313218,0.8656364887952804
18,0.0014405444909447842,0.9998405612244898,0.6133636206388473,0.8663947612047196
19,0.0006134989753078042,0.9999800701530612,0.6067195668816566,0.8720473349094391
20,0.0003771559076623668,1.0,0.602754782140255,0.8726734846830368
21,0.00018875736216669996,1.0,0.6121441528201104,0.8727596521377563
22,0.00014568982501538013,1.0,0.6181788548827172,0.8736960023641587
23,0.0001239522783607197,1.0,0.6254367530345917,0.8726907163858414
24,0.00011015807668089259,1.0,0.6252484992146492,0.8728400737047195
