train_loss,train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,validation_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall
2.2378652765039804,0.34904576916443686,0.27335860549653157,0.0,0.33404911496964185,0.0,2.262195557355881,0.31884765625,0.262638276028045,0.0,0.3206175842137931,0.0
2.0925434137645524,0.6274080266032301,0.33288826043184166,0.0,0.38375677332797115,0.0,2.161694145202636,0.36738281250000004,0.28952921082537786,0.0,0.36891491222740463,0.0
1.6010514602326513,0.6322855227871943,0.4606100770961872,0.0,0.47855050058679105,0.0,1.7553487151861191,0.45527343749999993,0.43657780941162055,0.0,0.4559761244358575,0.0
1.0617058737236156,0.6430613848201016,0.5133952333729584,0.008722918106534182,0.5741751119462156,0.009988153778223674,1.253634840250015,0.57861328125,0.5631025757491842,0.12499480244374367,0.5755320540136089,0.035270826507718726
0.8133619333568376,0.6694740621667159,0.5555845251541874,0.002123401194608625,0.5545581107911561,0.0038442626938039277,1.130484688282013,0.546875,0.5318260283759639,0.0,0.5455356831798696,0.0
0.6515008409818015,0.790064465581325,0.6285246921314608,0.01567013606948648,0.6821643352438128,0.040293077655378755,0.9815062835812568,0.6636718749999999,0.6174296433545196,0.0,0.6646239041187985,0.0
0.5696075668460445,0.8117532520963431,0.6548652189049969,0.03460660426604699,0.666272205745792,0.08651258828890408,0.9064024209976196,0.64521484375,0.6691910250004411,0.25406753774518315,0.645793298985117,0.22567100605446733
0.7035715595672004,0.740795617563683,0.6030000633204882,0.014322308798225424,0.6343514793761835,0.03372244421841328,0.8922269657254219,0.6479492187499999,0.6734373366362193,0.22180165501799015,0.6462478264388892,0.11933654951550443
0.5636058057609359,0.7783173584101494,0.6855687077878828,0.024810127755733255,0.6915689207761635,0.13028032521333643,0.8329127997159957,0.6720703125,0.6896717039339479,0.25033229857020833,0.6740669043895804,0.2561977701552152
0.48339813477114635,0.8356657404648624,0.6830875167267704,0.02955381105535904,0.7072155821143236,0.10934399311592294,0.8152864143252371,0.6978515625,0.6947601054849897,0.31971454172905406,0.6964853373272569,0.229300448443361
0.5756127886604844,0.7736974442214298,0.6771128164328379,0.023672124679478976,0.7026896303598161,0.1333854498293969,0.7862992659211162,0.6913085937499999,0.708215248739724,0.26733206059406023,0.6932819572542129,0.2743438283603188
0.497406609748539,0.8127126819209043,0.6835687324137506,0.03877608489796855,0.7130279708497774,0.1024586636454078,0.7973371326923369,0.6974609375000003,0.7122808536919444,0.3110810420854897,0.6940958885167591,0.22786819482915258
0.440725766775901,0.8455790605461384,0.7021061059476648,0.050713328925403214,0.7285552793671809,0.1475030785471521,0.7360907882452009,0.7181640625000001,0.729774972252749,0.3048895314219746,0.7137532176852042,0.2944298536178651
0.39344731286952367,0.8745037432302506,0.7202916292648779,0.04758509464391817,0.7523753282372235,0.0647596508377493,0.7046088472008705,0.73759765625,0.718728289434343,0.26665382071632077,0.7346438192230097,0.06450027784239845
0.3917880324940932,0.8702217560065417,0.7247706161249059,0.06536859826333508,0.7562631993537665,0.16544048292774946,0.6782047085463999,0.7468750000000002,0.7413587919076775,0.3520678061046676,0.7465830548067677,0.21901515121037435
0.4743230792514065,0.8106851180394486,0.7140092398598075,0.030753056233872478,0.7398908533756301,0.18624249889593386,0.6844206079840658,0.7277343749999999,0.7398815164634457,0.29086944342393195,0.724861185911502,0.3259314751567097
0.39429820838727436,0.8610551838289222,0.7154833364262733,0.04511974380395433,0.7683018343138867,0.10037280701754386,0.644085417687893,0.7550781249999999,0.7547251176071043,0.35896014094661866,0.7546341489056627,0.2008164756853286
0.3815256984610306,0.8791189319209045,0.7025526144120653,0.034234341509883304,0.7645104531653957,0.05092592592592592,0.6595729187130926,0.76005859375,0.7344083025611523,0.2476633892423366,0.7556392039212435,0.04354836773173752
0.4343633787673815,0.8303770600703718,0.720724110719382,0.036629919904851295,0.7631018906445091,0.20594381588813618,0.6312554858624934,0.7491210937500001,0.7586011262062217,0.31467066640210845,0.7468538681248361,0.3388272437261182
0.4164248082721443,0.8493080766577463,0.7243380809802991,0.0352010582583338,0.7590415477395668,0.13436756004690398,0.6842580184340477,0.7451171875000001,0.7597459105465613,0.3655853081262065,0.7446518134293555,0.34648054757150715
0.33866001770161747,0.8893701789671914,0.7444808867019009,0.06944926418610628,0.78052431493606,0.11942355889724311,0.6181481838226317,0.77099609375,0.7563770732057997,0.4064512917961195,0.7672458419947465,0.17471162278788993
