train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,train_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall,validation_loss,train_variance,validation_variance
0.5625,0.5423992673992675,0.125,0.6332936507936507,0.125,1.3744194507598877,0.5,0.4259259259259259,0.0,0.33333333333333337,0.0,1.201136589050293,85.37340545654297,96.23246002197266
0.65625,0.6571428571428571,0.14285714285714285,0.6906926406926407,0.2857142857142857,0.9647036790847778,0.5,0.4375,0.0,0.4937500000000001,0.0,1.0535157918930054,79.49110412597656,113.0525894165039
0.78125,0.7726587301587301,0.25,0.8288461538461539,0.3333333333333333,0.7393008470535278,0.5625,0.5666666666666665,0.0,0.5666666666666665,0.0,1.3601205348968506,85.33267211914062,128.99900817871094
0.734375,0.7102106227106227,0.4,0.8040223665223665,0.36363636363636365,0.7299177646636963,0.625,0.7037037037037038,0.0,0.5740740740740742,0.0,0.8197978138923645,98.50325012207031,167.96446228027344
0.78125,0.8274725274725276,0.42857142857142855,0.7944588744588745,0.36363636363636365,0.5776957273483276,0.75,0.6666666666666667,0.0,0.7037037037037036,0.0,0.6145901083946228,103.59178161621094,215.11831665039062
0.796875,0.8049007936507935,0.4,0.7965404040404042,0.5,0.5366755723953247,0.5625,0.4733333333333333,0.0,0.5666666666666665,0.0,0.7995087504386902,91.5986099243164,243.8208465576172
0.9375,0.9555555555555556,0.5555555555555556,0.9180952380952381,0.6666666666666666,0.3178577125072479,0.5,0.6851851851851851,0.0,0.5185185185185184,0.0,1.5023976564407349,94.75784301757812,325.7521057128906
0.890625,0.9087662337662337,0.5714285714285714,0.9178321678321679,0.5,0.39002087712287903,0.5625,0.525,0.0,0.5833333333333333,0.0,1.6675812005996704,85.62046813964844,377.9358825683594
0.90625,0.8838183421516754,0.6666666666666666,0.9268518518518519,0.7777777777777778,0.3262769877910614,0.6875,0.6018518518518519,0.0,0.6851851851851851,0.0,0.889959990978241,70.98941040039062,406.0995788574219
0.953125,0.9550000000000001,0.75,0.9766666666666667,0.8666666666666667,0.14585988223552704,0.5625,0.4583333333333333,0.0,0.5416666666666666,0.0,0.8530126810073853,53.812713623046875,454.03558349609375
0.9375,0.9476190476190477,0.8333333333333334,0.9482142857142858,0.75,0.15411598980426788,0.5625,0.611111111111111,0.0,0.5925925925925926,0.0,1.3976799249649048,40.48798370361328,482.4276123046875
0.984375,0.9900000000000001,0.9,0.9875,0.875,0.12574677169322968,0.5625,0.4266666666666667,0.0,0.5499999999999999,0.0,1.5220320224761963,31.30860710144043,520.0857543945312
0.984375,0.9857142857142858,0.8571428571428571,0.99375,0.9375,0.07466495037078857,0.75,0.7833333333333333,0.0,0.75,0.0,0.6394355297088623,27.870933532714844,538.7924194335938
0.984375,0.9814814814814815,0.8333333333333334,0.9914529914529915,0.9230769230769231,0.07630553096532822,0.875,0.8125,0.0,0.75,0.0,0.402519166469574,24.655426025390625,555.2980346679688
0.984375,0.9800000000000001,0.8,0.9928571428571428,0.9285714285714286,0.1168975681066513,0.625,0.6145833333333333,0.0,0.6458333333333333,0.0,0.9333134889602661,22.552738189697266,555.2196044921875
