train_accuracy,train_avg_precision,train_min_precision,train_avg_recall,train_min_recall,train_loss,validation_accuracy,validation_avg_precision,validation_min_precision,validation_avg_recall,validation_min_recall,validation_loss,train_variance,validation_variance
0.40625,0.48278822055137843,0.0,0.44869047619047625,0.0,1.7091147899627686,0.4375,0.34444444444444444,0.0,0.3981481481481482,0.0,1.5303705930709839,124.66077423095703,174.10813903808594
0.703125,0.5375,0.0,0.5647252747252747,0.0,0.937052845954895,0.6875,0.5925925925925926,0.0,0.7222222222222222,0.0,0.7803966403007507,128.1747283935547,176.75299072265625
0.671875,0.6418650793650794,0.0,0.6221356421356422,0.0,0.9544236660003662,0.6875,0.6666666666666666,0.0,0.6979166666666666,0.0,0.8765426278114319,112.86060333251953,224.1205291748047
0.8125,0.7573809523809524,0.0,0.7545238095238095,0.0,0.7719303965568542,0.5,0.33333333333333337,0.0,0.375,0.0,1.3755133152008057,123.61381530761719,288.8407897949219
0.859375,0.685607448107448,0.0,0.7233516483516483,0.0,0.44939038157463074,0.5625,0.5407407407407406,0.0,0.537037037037037,0.0,1.5184104442596436,128.37405395507812,352.11138916015625
0.90625,0.890034965034965,0.5,0.9259090909090908,0.6,0.3101049065589905,0.5625,0.5277777777777778,0.0,0.6296296296296297,0.0,0.944247305393219,113.56126403808594,423.3165588378906
0.890625,0.8484126984126984,0.0,0.8173076923076923,0.0,0.3156086206436157,0.5625,0.4629629629629629,0.0,0.40740740740740733,0.0,1.7995789051055908,121.35589599609375,512.6031494140625
0.9375,0.9527777777777778,0.75,0.9221153846153847,0.5,0.31403225660324097,0.6875,0.6851851851851851,0.0,0.5925925925925926,0.0,1.0873709917068481,161.2769012451172,674.3076171875
0.9375,0.9486868686868686,0.8,0.9632167832167832,0.8,0.32281526923179626,0.5,0.3759259259259259,0.0,0.4629629629629629,0.0,1.898115873336792,64.66825866699219,627.5208129882812
0.953125,0.9309090909090909,0.5,0.9727272727272727,0.8181818181818182,0.22728216648101807,0.625,0.4537037037037036,0.0,0.638888888888889,0.0,1.0975229740142822,48.31704330444336,785.8638916015625
1.0,1.0,1.0,1.0,1.0,0.09306319802999496,0.6875,0.5925925925925926,0.0,0.5740740740740741,0.0,1.0285935401916504,34.827518463134766,853.8222045898438
1.0,1.0,1.0,1.0,1.0,0.054049503058195114,0.75,0.6041666666666667,0.0,0.5208333333333333,0.0,1.2517536878585815,33.18413543701172,889.3381958007812
0.984375,0.9916666666666667,0.9166666666666666,0.9952380952380953,0.9523809523809523,0.07789140194654465,0.6875,0.6,0.0,0.5,0.0,1.3308566808700562,23.88045310974121,930.0333862304688
1.0,1.0,1.0,1.0,1.0,0.042113129049539566,0.5,0.44444444444444436,0.0,0.4814814814814815,0.0,1.8420679569244385,21.077411651611328,905.8680419921875
0.984375,0.9930555555555556,0.9375,0.9907407407407407,0.9166666666666666,0.10367852449417114,0.4375,0.33333333333333337,0.0,0.32407407407407407,0.0,1.9631118774414062,19.081567764282227,938.5575561523438
