train_loss,train_zero_shot_top_1,train_zero_shot_top_2,validation_loss,validation_zero_shot_top_1,validation_zero_shot_top_2,train_variance,validation_variance
12.263393119889862,0.0,0.0,12.40315055847168,0.280058611929879,0.4801342402264971,0.013328858651220798,0.05912262573838234
12.177930530236688,0.0,0.0,12.317293253811922,0.342063513225256,0.3608360562752094,1.0983282327651978,0.0772867277264595
11.932730567698576,0.0,0.0,12.257821516557172,0.21193072738907848,0.4328271651023891,0.9293782711029053,0.2757114768028259
11.686552072057918,0.0,0.0,12.394506627863102,0.24388004673440888,0.34867068724790573,4.720234394073486,0.26687389612197876
10.144702424808422,0.0,0.0,12.673440413041549,0.20230145148153894,0.29129498914055224,2.457557201385498,2.208392858505249
9.687127269044213,0.0,0.0,13.532733397050338,0.2583500184222774,0.2990050758222153,4.048012733459473,4.441990852355957
9.515067917960032,0.0,0.0,15.136024475097654,0.2680762536844555,0.3708258997828111,2.3174126148223877,10.007083892822266
9.435074008240989,0.0,0.0,15.30274772644043,0.25692956387682286,0.47804840210983557,1.9350694417953491,11.840710639953613
9.392128983322454,0.0,0.0,15.759437040849164,0.24424606829816942,0.45603862860688804,1.8564395904541016,16.682373046875
9.662367334171215,0.0,0.0,15.456276980313387,0.19071541459820046,0.3285261693298169,5.506527900695801,16.790542602539062
9.352546244251485,0.0,0.0,16.079271229830653,0.25737981887992556,0.47175513399782815,2.272538423538208,17.72016143798828
9.350670619886749,0.0,0.0,16.197215340354223,0.2596486677784673,0.47441848627055544,2.3089394569396973,17.10017204284668
9.340629013217226,0.0,0.0,16.14273114637895,0.26128425089202606,0.47378885646137137,1.692221760749817,17.33953094482422
9.350469978488224,0.0,0.0,16.15582812916149,0.26123758920260626,0.4740112569810735,1.8686788082122803,17.75476837158203
9.333988773579499,0.0,0.0,16.114260153336957,0.2598189526450512,0.4737888564613714,1.9090720415115356,17.988279342651367
9.334239531536491,0.0,0.0,16.181099284778938,0.25933294387992556,0.4704225488675148,2.0079007148742676,18.293588638305664
9.334859030587333,0.0,0.0,16.203849012201484,0.26088429355414205,0.4740112569810735,2.5904548168182373,18.63973617553711
9.3326913094034,0.0,0.0,16.184651461514562,0.2611066940738443,0.47126185328110454,2.580728054046631,16.1918888092041
9.328296213733907,0.0,0.0,16.169092785228383,0.26003953517685385,0.4707255468507603,3.0046775341033936,17.800683975219727
9.328162835568795,0.0,0.0,16.212163404984906,0.26482993329196397,0.477158800031027,2.3931868076324463,17.714744567871094
